artist,title,English_clean_lyric
  서현 (SEOHYUN)  ,아파도 괜찮아요,
  김태우  ,내가 나를 봐도 슬퍼.. (Inst.),
  하성운  ,나란 사람,
  이석훈  ,나보다 조금 더 높은 곳에 니가 있을 뿐 (십오야 밝은 둥근달),
  얀  ,After,
  거미  ,P.S. I Love You (박정현),
"  신효범 ,  봉구  ",행복한 나를,
  심규선 (Lucia)  ,나의 색깔,
  Vn.JuHee  ,Promise (Feat. JPS),triumph feat jps song rap yo huh reborn song repeat rap song repeat rap life dream yo song repeat rap song repeat
  럼블피쉬  ,남잔 다 그래,
  해이  ,April,may hold velociraptor smiley face la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la
  규현 (KYUHYUN)  ,사랑 먼지 (Inst.),
  유영석  ,지난날,
  이가희  ,오빠는 황보래용,mine mine mine
  알렉스  ,자신에게도 축복받지 못한,
  박상민  ,길,crazy crazy crazy crazy
  둔둔  ,눈꽃처럼 (Feat.장겨울，이지은),
  이적  ,깍지,
  이오공감  ,늘 그런 세상이었으면 좋겠다,
  플라이 투 더 스카이  ,가슴 아파도,
  시나에   ,U (Le Coeur Disparus),tu sais que le coeur est disparu j ai dit mon amour que je ne l aimais plus il faut que le temps passe il n rien de memoire connue je aime je aime encore je aime je aime encore mais l amour les autres tout fait different tu manque tu manque tant je te regrette nous sommes les autres qui nmarchent l envers coeur disparus je aime et je ne aime plus le coeur disparus woo ou est le coeur disparus comme si quelqu un n pas existe toi et moi passerai le temps mais nous resterons sur les chemins des autres comme l ombres mortes tu sais que le coeur est disparu j ai dit mon amour que je ne l aimais plus il faut que le temps passe il n rien de memoire connue je aime je aime encore je aime je aime encore mais l amour les autres tout fait different tu manque tu manque tant je te regrette nous sommes les autres qui nmarchent l envers coeur disparus je aime et je ne aime plus le coeur disparus woo ou est le coeur disparus comme si quelqu un n pas existe toi et moi passerai le temps mais nous resterons sur les chemins des autres comme l ombres mortes
  스탠딩 에그  ,매일 그대를 (With Windy),windy
  페퍼민트 (peppermint)  ,내게 내게 너만큼 (feat. 블러셔(Blusher)),
  유미  ,차라리,
  김민종  ,착한사랑,
  김은비 (EB)  ,고백,
  박상민  ,후애(後愛),
  정바스  ,꼬박 (Vocal 이시은),woo woo woo
  혜령  ,미안해,
  마이큐(MY-Q)  ,아는 누나 (Feat. 홍진경),
  클럽소울  ,우리 헤어진다면,
  오스카  ,눈물자리,
  스티 (STi)  ,달콤한 자극,yo listen uh singing uh
  마마무 (Mamamoo)  ,LOVE,falling boy fall love subway walking rain walking lane walking lane mint falling boy fall love subway walking rain love lane fall love subway walking rain walking lane walking lane
  정윤재  ,달빛 (MoonLight) (Feat. 순간),
  우찬양  ,그럴때마다 난 건반을쳐,
  이석훈  ,친구 아닌 남자로,love
  발라더스 (BalladUs)  ,가을 밉다,
  015B  ,세월의 흔적 다 버리고,
  김현호  ,As Tears Go By (가을에만난남자),evening day sit watch children play smiling faces see sit watch tears go riches buy everything want hear children sing hear sound rain falling ground sit watch tears go evening day sit watch children play doin things used think new sit watch tears go mm
  이정희  ,그대여,
  헨리 (HENRY)  ,I Would,nothing ever broken like one ever wanted nobody else make man weak make fall love deep baby one ever known like girl see every single memory know reminds alone alone could get would wan na love anymore missing like fighting war battle losing give girl could could walk away easily would thought seen enough know enough know feels fall kind pain left never seems heal never lets go could get would wan na love anymore missing like fighting war battle losing give girl could could walk away easily would tell live tainted love tell feel feelings way leave behind could get would wan na love anymore missing like fighting war battle losing give girl could tell walk away away loving would
  박기영  ,배려,
  재호 (XEHO)  ,Sweet Love,someday coming heart someday coming heart love wish love forever
  박혜경  ,집에 가는 길,
  유영석  ,2년 6개월,
  팀  ,쉬운사람,
  준하와 나  ,함께 겨울을 보낼래,
  어떤날  ,그런날에는,
  위니아  ,오늘인가 봐,want stay leave bae want stay leave bae want stay leave bae
  수영 (SOOYOUNG)  ,바람꽃,
  임준혁  ,Stay,
  양정승  ,Forever Love (Feat. 신우),forever love forever love
  JK 김동욱  ,IOU,
  백서하  ,까마득히,oh oh
  Various Artists  ,바람이 분다,
  TWICE (트와이스)  ,ONE IN A MILLION,got ta know one million yeah one million one million masterpiece one million take deep breath yeah one million one million masterpiece one million got ta know one million oh one million one million masterpiece one million got ta know one million got ta know one million got ta know one million got ta know one million got ta know one million
  채환  ,말리꽃,
  샛별  ,시린봄 (Feat. 윤미),
  아우라 (Aura)  ,오해,
