artist,title,English_clean_lyric
  델리스파이스  ,Bette Davis Eyes,hair gold lip surprise hand eye music pure york snow eye tease unease problush garbo sigh eye home lay throne eye tumble eye foot crumb problush boy spy eye tease unease problush boy spy eye tease eye eye davis eye get turn win think get please make get get let take get take get know make get please make get please get get get harlow sweet cold bette davis new bette davis good precocious greta bette davis appetite bette davis blue bette davis ferocious bette davis good precocious bette davis unease bette davis bette davis bette never twice dice expose expose
  마더컨트리  ,서른 살은 파랗다,
  우효  ,PIZZA (Kai Takahashi Remix),summer talk entertainment minute phone gotten game pizza suck question pizza suck movie home run city everyone cause time anyone interest see time pizza suck question pizza suck suck day bore suck day bore suck question pizza suck bore yawn wait ring anybody see love know play make want stay say cause stick watch go try look get impress try live get look wonder try cause oh crazy scared bad appetite mom net stupid bad appetite pizza appetite back really pretty back back
  캐스커  ,비밀,
  국카스텐  ,Pulse,
  뷰티풀 데이즈  ,내일이 없는 것처럼,
  소심한 오빠들  ,친구,
  그림자  ,One love (With. Homeboy),love love love love love love love love love love never never
  조이엄  ,잘됐으면 좋겠어,
  짙은  ,기억의 궁전,
  이보우  ,멀어져가,
  Have A Tea  ,내게 와요,
  끝없는잔향속에서우리는  ,푸른소매,love ruthless shape ruthless shape cumbersome cumbersome sleeve sleeve sleeve sleeve sleeve sleeve ruthless shape sometimes hide love sometimes hide sometimes hide much much always always always
  we hate jh  ,표류 (Album Ver.),
  파마씨 (Pharmacy)  ,바다,
  재주소년  ,2시 20분 (Live Ver.),
  도마  ,너무 좋아,
  유하  ,사막의 나무,
  마이 앤트 메리  ,With,
  페퍼톤스 (Peppertones)  ,Bikini,face face nothing oh face face nothing oh face stop tonight stop tonight face goodbye tonight goodbye tonight never never
  루시드폴  ,그대는 나즈막히,
  휴먼레이스  ,위로,
  O.O.O (오오오)  ,혹은 진실,
