artist,title,Korean_clean_lyric
  The Moody Blues  ,For My Lady,보트 폭풍 바다 항해 눈물 채우다 대양 헤치다 드디어 항구 보이 당신 발견 인생 기꺼이 드리다 우아하다 여인 위해 아낌없이 전부 드리다 여인 인생 미풍 흘러가다 한숨 내쉬다 고개 숙이다 당신 나지막하다 울음소리 들다 있다 우리 외롭다 당신 행동 효과 있다 하나 당신 사랑 태양 항해 느끼다 나누다 모두
  Laura Doggett  ,Searching,
  Prince  ,Life `O` The Party,
  HRVY  ,Told You So,
  BØRNS  ,Seeing Stars,
  Mariah Carey  ,Can`t Take That Away,
"  Topic ,  Vigiland ,  Christopher  ",Let Us Love,
"  WENGIE ,  민니 ((여자)아이들)  ",EMPIRE - Korean Ver.,이루다 모두 보다 아무 넘다 없다 이루다 나르다 보다 나르다 보다 아무 넘다 없다 들다 보다 느끼다 보다 내려놓다 모두 보라 왕관 빛나다 자리 소장 따르다 보다 매일 불다 이제 그리다 이루다 모두 보다 아무 넘다 없다 이루다 나르다 보다 나르다 보다 아무 넘다 없다 들다 보다 느끼다 보다 내려놓다 모두 보라 왕관 빛나다 모든 벗다 비추다 마시다 원한 기대다 차갑다 돌아서다 바로 입술 불다 이루다 모두 보다 아무 넘다 없다 이루다 나르다 보다 나르다 보다 아무 넘다 없다 들다 보다 느끼다 보다 내려놓다 모두 보라 왕관 빛나다
  Angel Olsen  ,Lark,
  Miss Li  ,Tuck You In,
  Lukas Graham  ,Funeral,
  Blue  ,When Summer`s Gone,
  Northern Lite  ,Treat Me Better (Original Ver.),
  Carlie Hanson  ,Numb,
  Lara Fabian  ,No Big Deal,
  Joe Cocker  ,Two Wrongs,
  Sabrina  ,We Are Never Ever Getting Back Together,
"  Youngr ,  Endor  ",Give It Up (Youngr x Endor),
  J.Fla  ,Hand In Hand,높이 솟다 우리 가슴 동치 이제 모두 일어나다 영원하다 함께 살아가다 나서다 잡고 넘어서다 우리 살다 세상 더욱 살기 좋다 잡고 넘어서다 서로 서로 사랑 한마음 되다 손잡다 손잡다
  Svala  ,Close To You,
  Laleh  ,The End,
  Westlife  ,Try Again,
  Tyde Levi  ,AAA,
  U.S. Girls  ,Mad As Hell,
  Coldplay  ,Sparks,
  Nelly Furtado  ,Say It Right (Radio Edit),
  Tegan And Sara  ,"Hey, I`m Just Like You",
  Delta Goodrem  ,Just Call,
  Paul Simon  ,Kodachrome,
  Aldous Harding  ,Imagining My Man,
  Naughty Boy  ,La La La (Feat. Sam Smith),
  Kuwada  ,Cherry Cola,
  Michelle Branch  ,Are You Happy Now?,
  Jamiroquai  ,Automaton,
  LunchMoney Lewis  ,Whip It! (Feat. Chloe Angelides),
  Glenna Bree  ,How Long Has It Been,
  Jasmine Sokko  ,1057,
  Bread  ,Baby I`m-A Want You (LP Ver.),
  Various Artists  ,Melancolie,
  Sharlene San Pedro  ,Everything Will Be Alright,
  Britney Spears  ,"I`m Not A Girl, Not Yet A Woman (Remastered)",
  Justin Timberlake  ,Sexy Ladies / Let Me Talk To You Prelude,
  Paul McCartney  ,One Of These Days (2011 Remaster),
  D`Sound  ,Real Name,
  Electric Light Orchestra  ,Last Train To London,
  Cherie  ,Betcha Never ,
  Celine Dion  ,Heart of Glass,
  The Chainsmokers  ,It Won’t Kill Ya (Feat. Louane),
  The Piano Guys  ,Just The Way You Are,
  Troye Sivan  ,The Fault In Our Stars (MMXIV),
