artist,title,Korean_clean_lyric
  이권형  ,좋은 시절 Bittersweet Time,세상 어둠 내다 아무래도 웃음 아무리 해도 깊다 가라앉다 그대 내다 아무래도 웃음 늘다 아무리 그대 해도 깊다 가라앉다 슬픔 잠기다 슬픔 잠기다 마음 슬픔 잠기다 홀로 좋다 시절 좋다 시절
  가리나 프로젝트  ,틈,겨우 내쉬다 만나다 거리 걷다 보다 깨지다 않다 거리 두다 보다 들리다 않다 목소리 숨소리 모르다 사이 잠깐 스치다 사이 우리 사이 가깝다 멀어지다 사이 짧다 사이 잠깐 감다 사이 너와나 사이 적절하다 애매하다 사이 알다 서로 약속 적도 없이 모르다 알다 서로 솔직하다 적도 없이 모르다 이제 보이다 서로 애쓰다 보지 않다 한순간 무너지다 끝나다 않다 한순간 무너 뜨다 모두 끝나다 망설이다 망설이다 모르다 사이 잠깐 스치다 사이 우리 사이 가깝다 멀어지다 사이 짧다 사이 잠깐 감다 사이 너와나 사이 적절하다 애매하다 사이 모르다 사이 잠깐 스치다 사이 우리 사이 가깝다 멀어지다 사이 짧다 사이 잠깐 감다 사이 너와나 사이 적절하다 애매하다 사이 알다 서로 약속 적도 없이 모르다 알다 서로 솔직하다 적도 없이 모르다
  고도현  ,릴테잎,서랍 오래되다 테잎 하염없이 듣다 있다 나이 많다 테이프 기억 많다 엄마 아빠 잡고 놀이동산 가다 사촌 그때 찍다 사진 누렇 아직 그대로 서랍 오래되다 테잎 하루 종일 듣다 있다 먼지 쌓이다 오디오 음악 추억 많다 빌라 사람 모이다 계곡 놀다 가다 할머니 그때 찍다 사진 누렇 아직 그대로
  Adios Audio  ,Like Snow,버리다 시간 남겨지다 혼자 이리저리 헤매다 결국 발걸음 어김없이 오늘밤 생각나다 맞다 잡다 놓다 끝나다 않다 인사 어두워지다 골목길 소리 죽이다 흘리다 웃음 달빛 아래 빛나다 오늘 생각나다 꺼지다 지붕 아래 무슨 꾸리다 어쩌면 함께 걷다 있다 꺼지다 지붕 아래 무슨 꾸리다
  무중력소년  ,Dear My Friend,어디 있다 무겁다 걸음 어디 어디 가다 어디 있다 아직 보다 보다 없다 고개 떨구다 사람 작다 불씨 하나 얼어붙다 같다 맨드라미 고개 떨구다 사람 작다 불씨 하나 얼어붙다 같다 맨드라미 어디 있다 무겁다 걸음 어디 어디 가다 어디 있다 아직 보다 보다 없다 고개 떨구다 사람 작다 불씨 하나 얼어붙다 같다 맨드라미 고개 떨구다 사람 작다 불씨 하나 얼어붙다 같다 맨드라미 이제 어디 가야 이제 어디 가야 이제 어디 가야 이제 어디 가야
  마이 앤트 메리  ,148km,이미 지나 다가오다 기억 기대 남다 시간 지난 가슴 깊이 새기다 많다 후회 지치다 기억 지워지다 기다리다 노래 어디 남겨지다 지금껏 그렇다 않다 속인 마음 이해 없다 우리 바랬던 시작 이렇다 기억 남겨지다 약속 이미 지나 다가오다 기억 기대 남다 시간 지난 가슴 깊이 새기다 지금껏 그렇다 않다 속인 마음 이해 없다 우리 바랬던 시작 이렇다 기억 남겨지다 약속 바라다 아니다 다시 시작 되다 노랗다 들다 보다 우리 바랬던 시작 이렇다 기억 남겨지다 약속 아무렇다 않다 그렇다 우릴 다시 기억 변하다 만들다 내일 다시 찾아오다
  포니 (Pony)  ,왼편에서,아스팔트 걸다 해변 생각 맞다 햇살 생각 또한 되다 나이 나다 또한 되다 도시 걸다 사막 생각 서서 우편 생각 또한 되다 나이 나다 또한 되다 또한 되다 또한 되다
  Narotic  ,Thief,
  깃든  ,여행 가고 싶은 날 (Feat. 권선영),나서다 햇살 좋다 시원하다 바람 거리 오늘 여행 가다 싶다 설레다 마음 전화기 들다 혼자 가기 싫다 나오다 함께 갈래 우리 함께 떠나다 잡고 떠나다 오늘 신경 쓰다 말다 우리 떠나다 좋다 어디 함께 있다 푸른 바다로 갈다 시원하다 좋다 높다 갈다 맑은 공기 좋다 비행기 타고 멀다 해외 갈다 조용하다 시골 마을 우리 함께 떠나다 잡고 떠나다 오늘 신경 쓰다 말다 우리 떠나다 좋다 어디 함께 있다 푸른 바다 좋다 높다 산도 괜찮다 비행기 타고 구름 날다 좋다 조용하다 시골 마을 좋다 어디 함께 있다
  원펀치  ,유언,함께 듣다 늙다 가수 노래 나오다 한번 계절 가면 이름 기억 대다 눈물 흘리다 영화 보고 다시 흔들리다 이름 기억 표현 없다 느끼다 보이지 않다 보이다 누군가 그립다 바람 차갑다 어디 대다 그리다 이름 기억 해주다 표현 없다 느끼다 보이지 않다 보이다 이름 새기다 이름 부르다 그대 작다 목소리 다른 시간 이름 불다 그대 기억 말로 표현 없다 느껴지다 보이 않다 이름 기억 이름 새기다 이름 부르다 그대 작다 목소리 다른 시간 이름 불다 그대 기억 보이다 않다 느끼다 있다 언제나
  위아더나잇 (We Are The Night)  ,깊은 우리 젊은 날,말다 그대 거리 흔들리다 틀다 나다 모르다 마음 약해지다 언제 무표정 얼굴 서로 지나 무표정 얼굴 서로 대해 말다 그대 괜찮다 때로는 청춘 시간 두렵다 보다 그대 어쩔 모르다 우리 지난 추억 우리 오늘 간직 기억 깊다 우리 젊다 이유 없이 아프다 보다 가슴 뛰다 깊다 기쁘다 깊다 기쁘다 깊다 우리 젊다 빛나다 그늘 어딨다 생기다 퍼렇다 생각 마음 바닷 파도 어둡다 거울 들다 말다 그대 거리 흔들리다 틀다 그때 모두 나다 그토록 바라다 전부 때로는 청춘 무거워 시간 두렵다 보다 그대 어쩔 모르다 이유 없이 아프다 보다 가슴 뛰다 깊다 기쁘다 깊다 기쁘다 깊다 우리 젊다 빛나다 그늘
