artist,title,Korean_clean_lyric
  S.E.S.  ,Remember (English Ver.),
  가든 (Garden)  ,몰랐어,사랑 없다 그대 한심하다 꾸다 있다 보다 당신 벗어나다 생각 없다 우린 수많다 공통점 있다 정말 안되다 한가지 이유 놓치다 당신 움직이다 싫다 수많다 다한 아직 많다 그저 눈물 흘러가다 그리움 글자 내다 찾아오다 모르다 그렇다 견디다 우린 아직 서로 모르다 있다 보다 그땐 혹은 서로 알다 않다 보다 그저 시간 우린 같이 흘러가다 보다 그렇다 수많다 다한 아직 많다 그저 눈물 흘러가다 그리움 글자 내다 찾아오다 모르다 그렇다 수많다 우릴 비추다 어디 없다 가요 다시 시간 되돌리다 주다 그대 안기다 바라보다 다시 한번 다시 한번 그리움 글자 내다 찾아오다 모르다
  콘치와 콘치즈  ,너무 좋은 너 (Feat. 기민),파란 눈부시다 햇살 아침 일찍 뜨다 전화 기다리다 마냥 설레다 이렇다 마음 알다 창문 열다 상쾌하다 공기 저기 멀리 보이다 기다리다 이렇다 기분 알다 걸음 걸음 점점 다가오다 들려오다 소리 어떡하다 너무 떨리다 벌써 서다 있다 보다 심장 소리 울리다 초인종 소리 열다 너무 멋지다 기다리다 기다리다 택배 너무 좋다 아침 아니다 어젯밤 숨다 같다 기다리다 내다 달려오다 심장 소리 울리다 초인종 소리 열다 너무 멋지다 기다리다 기다리다 택배 참다 갖다 싶다 자꾸 조급하다 마음 이제 마음 열다 매일 오늘 행복 싶다 심장 소리 울리다 초인종 소리 열다 너무 좋다 기다리다 기다리다 택배 너무 좋아하다 진짜 좋아하다 내일 아침 소중하다 순간 다시 만나다 싶다
  비스트  ,The Fact,이렇게 끝내다 없다 다시 돌아오다 제발 돌아오다 떠나가다 믿다 않다 해보다 소용 없다 이건 아니다 이건 아니다 사실 믿다 이건 모두 사실 아니다 믿다 돌아오다 달라 몇번 이건 이제 없다 그게 사실 믿다 않다 돌아오다 달라 수없이 얘기 해보다 사실 알다 사실 알다 사실 알다 사실 알다 머리 알다 인정 삼키다 불안감 나다 모르다 나오다 보호 본능 또는 집착 머리 위로 떨어지다 버리다 상황 도저히 감당 수가 없다 비우다 내다 없다 새롭다 채우다 이야기 다시 써다 갈다
  마리아  ,내 영혼을 그대에게,이미 있다 바라보다 그대 눈빛 어느새다 사랑 물든 자신 없다 이렇다 사랑 영원하다 이제 믿다 없다 는걸 그대 두렵다 약속 있다 언제나 영원하다 변치않다 하나 사랑 믿다 없다 사랑 마치 꿈결 영혼 그대 데려가다 주다 싶다 그대 행복하다 있다 그대 지키다 나르다 믿다 있다 언제나 영원하다 그대 이름 부르다 믿다 있다 사랑 마치 꿈결 우리 하나로 만들다 영혼 그대 데려가다
  효린  ,더 가까이,잃다 사람 건네다 설레임 기억 자꾸 생각나다 기다리다 사랑 모르다 가까이 가요 한번 내다 가까이 오다 사랑 모르다 내다 가르치다 사랑 사랑 사랑 기다리다 오다 흔하다 한마디 위로 생각 사실 위로 전부 그대 전부 가까이 가요 한번 내다 가까이 오다 사랑 모르다 내다 가르치다 사랑 커지다 점점 떠나다 마르다 행복하다 우린 영원하다 있다 가까이 가요 한번 내다 가까이 오다 사랑 모르다 내다 가르치다 사랑 사랑 사랑 사랑
  러브 에피소드  ,"우두커니 (Feat. 프로젝트632, 웅열)",지치다 하루 없다 거리 혼자 걸다 텅빈 달래다 없다 삼키다 있다 우리 처음 만난 아직 우리 추억 고스 묻다 사랑 보다 하고프다 많다 달이 지나가다 기억 우두커니 하늘만 보다 없다 사실 지치다 있다 거리 거리 온통 아직 우리 사랑 새기다 남다 사랑 보다 하고프다 많다 달이 지나가다 기억 아니다 안되다 같다 이대로 놓치다 싫다 아직 사랑 잊다 지우다 애쓰다 그게 자다 다른 사랑 아니다 사람 싫다 돌아오다
  이문세  ,밤이 머무는 곳에,오다 거리 그대 떠나다 내다 맞추다 주다 한마디 인사 그저 눈물 짓다 새벽 어둠 그대 미소 수가 없다 돌아가다 모습 가로등 불빛 아래 멀어지다 가다 그렇게 떠나다 그대 머물다 가면 내게로 그렇게 오다 그대 마중 나가다 한마디 없다 그저 고개 젓다 새벽 어둠 그대 미소 수가 없다 돌아가다 모습 가로등 불빛 아래 멀어지다 가다 그렇게 떠나다 그대 머물다 새벽 어둠 그대 미소 수가 없다 돌아가다 모습 가로등 불빛 아래 멀어지다 가다 그렇게 떠나다 그대 머물다
  노아(knoah)  ,나의 얘기를,그땐 차다 어리다 많이 사랑 때론 많이 다투다 생각 모두 잘못 마지막 그날 울다 그녈 잡지 너무 후회 후론 누굴 사랑 없다 아직 만나다 변하다 버리다 모습 변하다 버리다 시간 괜찮다 아름답다 예전 모습 그대로 잊다 믿다 그만큼 사랑 그래서 우린 한번 만나다 친구 노랗다 듣다 해주다 아직 사랑 우리 처음 만난 시간 자리 매일 기다리다 언제 만나다 변하다 버리다 모습 변하다 버리다 시간 괜찮다 아름답다 예전 모습 그대로 잊다 믿다 그만큼 사랑 그래서 우린 한번 만나다 친구 노랗다 듣다 해주다 아직 사랑 우리 처음 만난 시간 자리 매일 기다리다 언제 친구 노랗다 듣다 해주다 아직 사랑 우리 처음 만난 시간 자리 매일 기다리다 언제 친구 노랗다 듣다 우리 처음 만난 시간 자리 친구 노랗다 듣다
  소심한 오빠들  ,그 겨울 우리,돌이키다 없다 생각 하루 밝다 오다 슬프다 남아 있다 내리다 겨울 우리 세상 행복하다 루미 네이션 설레다 입맞춤 다시다 없다 추억 쌓이다 있다 거란 자만 매일 후회 켜다 아프다 그때 내리다 겨울 우리 세상 사랑 루미 네이션 설레다 입맞춤 다시다 가지다 없다 그리움 소중하다 잃다 나서다 깨닫다 이미 늦다 버리다 어쩌다 우리 마주치다 각자 다른 잡고 서로 지나 스치다 가다 아직도 어제 같다 기억 우리 똑같다 꾸미다 항상 함께 하자 부르다 목소리 사랑 눈동자 없다 바라다 수도 없다 추억
