artist,title,English_clean_lyric
  Apink (에이핑크)  ,Wanna Be,love love baby love baby love yeah boo baby yoo hoo hoo baby baby yeah day baby love baby love yeah boo baby yoo hoo hoo baby baby yeah day love love love love love fall love wan call call call love love everyday everyday love love love love na na na na na na oh
  포지션  ,Summer Time,summer time summer time summer time forever sunsetbar summer time summer time forever
  신승훈  ,로미오 & 줄리엣,player
  터보트로닉 (Turbotronic)  ,Friday Night (Radio Edit),dream dream sound call name hand night party dance night time baby night party feeling baby move night friday night night friday night friday friday night dream dream sound call name hand night party dance night time baby night party feeling baby move night friday night night friday night friday friday friday night see come take move get see come take move get friday good friday high alright ta friday friday friday friday friday friday friday good friday high alright ta friday friday friday friday friday close close
  터보  ,D.D.R,oh
  Forever 프로젝트  ,담다디,
  지구 (GeeGu)  ,Chemical,yo feeling nobody nobody one nobody nobody one woah woah woah hey ooh woah woah woah hey chemical feeling nobody nobody one nobody nobody one session session girl let move nobody nobody one nobody nobody one woah woah woah hey ooh woah woah woah hey chemical slow grow run tell woah uh want want baby love love love run tell want wait woah uh want want baby love love love right ready slow woo ooh uh ooh woah uh uh ooh woo new ooh uh ooh woah uh uh ooh never away away
  이형은  ,I Want You Back,crowd someone bunch glance look baby chance heart arm baby yeah love sleepless night street stain ground boy baby chance heart baby chance heart arm jackson crowd someone bunch glance look baby chance heart darlin baby baby yeah love sleepness night street stain ground girl chance heart darlin baby chance baby baby baby baby cost baby chance hah show baby make pick take take give show win please let darling let go let go try live let show follow let tell give show win please let darling let go let go give show win please let darling let go let go make stand pick take take give show win please let let go let go see na try live let show follow let tell show win please let let go let go see show forget happen let live let go see give lose baby pretty late second wrong oo long right tear oh wrong oh wrong pretty late second oh ooh long right tear baby oh oh oh always much baby back back back back wrong even baby baby always much back back back na wrong even ya oh back back back back back
  비  ,Rainism (Remix) (Clean Ver.),gon boy boy gon boy boy gon boy boy gon boy boy noise noise rainism rainism rainism gon crazy gon boy boy gon boy boy gon boy boy gon boy boy soul soul rainism rainism rainism gon crazy time rainism gon crazy rainism gon crazy break jr yo yo beat hand camp get get get get feel make get get get get feel feel get bring put bad bad bad bad bad bad bad bad bad bad bad crazy bad bad bad bad bad bad bad bad bad bad bad crazy crazy crazy jt ta ta ta ta ta ta ta ta yes
  젝스키스  ,학원별곡 (學園別曲),ah time scream mix booh watch ah time scream mix booh watch ah time scream mix booh watch ah time scream mix booh watch ah time scream mix booh watch ah time scream mix booh watch rise mess mess rise mess mess rise mess mess rise mess mess rise mess mess rise mess mess gotto gotto gotto gotto gotto gotto
  블락비 (Block B)  ,싱크로율 100% (Inst.),boo ya ya ya boo ya ya ya uh uh uh uh
  더보이즈 (THE BOYZ)  ,Just U,girl cause love love please girl bridge cause truth love love everything please girl bridge girl take take oh girl everyday enough enough enough enough beautiful forever never
  디팝프렌즈 (DPOP Friends)  ,아틀란티스 소녀,
  H.O.T.  ,"투지 (鬪志, Git It Up!)",git git guarantee wan epervana pyunny ya outta ya git git give take knee cut drip see rathre gon knock give booya
  신비 (Shinvi)  ,아쉬움으로,
  Czaer (시저)  ,You (Feat. Far East Movement X 베이빌론 (Babylon)),drama thangs notice verb corny hip hop song focus starin remind ya blind fate upgrade meet taste trend order half baby friend status ya size favorite fry eye enterprise line vega light money mouth keep ya maintenance high face thigh taste baker mile place maldives space tonight day surprise look look episoded make quote telescope blink close edumacated outdated fade take put keep get race basic look look look look crazy candy coated cool outta open ya ya ya ya famous ya ya late great smile little sure ya full never accidentally never outer
  더 블루  ,X-클럽,welcome club welcome name welcome club welcome name club club good good
  이재진  ,고백(Go Back),yeah yeah yeah yeah yeah
"  TraxX (트랙스) ,  LIP2SHOT  ",Notorious (Feat. Sophiya),eye way matter lip word wait uh care ocean body motion devotion feeling pedal metal time move way switch mode yeah minute cause child nothing cause nothing show lead history imma share dream superstition eye prize group christian life ay hand partner crime bonnie clyde switch mode yeah minute cause child nothing cause nothing show lead history lock read say let drift sing choose pave stop take change let pause lose let go hold go give get make preach call overrate lock fight hold stop take change let pause lose let go hold go give get make wait deep everyday mayday slow last notorious notorious notorious notorious notorious good ready luther big notorious glorious victorious prime slow last notorious notorious notorious notorious notorious notorious inside really right never
  김준  ,비워내기 (Feat. 김조한),right
  세이렌  ,가지마,loser break heart break heart tear sweet
  인피니트  ,숨 좀 쉬자,
  이정현  ,충격,aha aha aha aha aha aha
  프로미스나인  ,물들어,turururu ba sayla turururu ba sayla turururu ba sayla turururu ba sayla turururu ba sayla turururu ba sayla turururu ba sayla turururu ba sayla
  터보  ,노스트라다무스 (사랑의 예언),
  Various Artists  ,세상엔 없는 사랑,
  라붐 (LABOUM)  ,불을 켜 (Turn It On),nobody babe babe love yeah nobody babe babe night yeah nobody babe babe ohehoh nobody nobody babe babe ohehoh love want mine na na na na na na na na na na ohehoh else oh else oh else na na na else else na na na lonely long lonely
  선엘  ,Feeling Love,love feelin love feelin love oh love feelin love feelin love feelin love oh baby feelin love feelin love feelin love oh love feelin love feelin love feelin love oh love yes feelin love feelin touchin touchin
  샵  ,EXIT (비상구),yo jigga yo platnum time gettin cuz baby bet jigga tense flow kick bring care pair gettin vibe way life show gotter check showin feel get take know feel get leave feel sharp vibes tite ta alone cruel ta yo away never well never alone
  리온 (Re:ON)  ,엘오뷔이 (With 수현 Of ClubSoul),song love reon everybody give want say magical beautiful magician always
  BIGBANG  ,할렐루야,fallin fallin fallin yeah fallin fallin fallin shimmy shimmy step action mission doubt type bigbang boom question fallin fallin top boom fallin fallin fallin shimmy shimmy step action mission poker game pokerface son yo man top oather bye fire fallin fallin fallin yeah gd boom fallin fallin fallin shimmy shimmy step action mission doubt fallin fallin fallin yeah fallin fallin fallin shimmy shimmy step action mission doubt test blastin shut go heller catch understand burn yes yo complete soldier dynamite rule nasty fallin yo good yo complete yo complete stop fly
  홍경민  ,"진이 (Feat. 유미, 하주연 Of 쥬얼리)",lee hey lee lee hey lee hey lee baby lee lee lee lee lee lee mr lee wan tonight mr mr mr mr mr mr mr mr mr mr mr na na na na na na na na na na na na
  영턱스클럽  ,재회,
  달샤벳  ,Let It Go,wu hoo hoo wu hoo hoo hey oh hoo hoo wu hoo hoo zizi boy hurt let go let go let go let go let go let go let go let go let go let go let go let go oh baby oh comment oh baby oh wu baby oh comment oh baby oh crazy oh baby oh comment oh baby oh oh oh oh oh oh oh oh oh oh
  디바  ,Crazy For You,diggity diva song diggity diva let sweet feelin hand way chill till faith day love forever second check mind cause yo ho cheat yo om yo break ya ya rock ya hand heart part love love till faith day love forever till faith day love forever love love love make see stay stand see boy get make get know darling gon make take check get hell tell rap pay lose get bring tell feel get know darling gon make take gon make take take fine single long right clean crazy close sure sweet uh good dirty nasty close strong sure sweet sure sweet sweet never yeah never never never
  가인  ,Bad Temper,care try act damn damn talk talk care try act damn damn talk talk wait wait speak speak ever never ever never
  CLC  ,예뻐지게,girl step step everybody hand left heel dance tonight left heel night step alright tell step step alright clap put let put let dance step alright oh ok oh ok right high right high oh ok na na na alright alright na na na alright long na na na
  비스트  ,가져가,hello beautiful filter oh girl drive take take take take red drive take take take take take take take take crazy girl girl black black black red red crazy
"  티아라 ,  초신성  ",TTL Listen 2,goodbye goodbye boy time goodbye yo love goodbye win make cry win make cry back love win make cry win make cry stupid bad yo live never never never never
  키 (KEY)  ,I Wanna Be (Feat. 소연 of (여자)아이들),girl song baby na wan get na na na na na na na na wherever wherever wherever whenever na na na na
  일급비밀 (TST)  ,YESMAN,man man bebe bebe bebe bebe man man man man man man man man man yes man man man man man man man man man man man man man yes man man man man man man man man man man yes man yeah man man man man man man yes man man man man man man man man yes man man yes yes yes yes yes yes yes yes yes yes yes yes yes yeah yes yes yes yes yes yes
  김건모  ,자서전,
  김건모  ,핑계 (Electro House Club Re-Mix Edition),
  동방신기 (TVXQ!)  ,Ride Into The Earth,tvxq hero max know
  젝스키스  ,Party Time,part time party time party time baby hey man party time party time party time party time party time party time party time party time party time
  레인보우  ,A,aaa aaa aaa collection line ez ace line oh woo oh woo change love oh collection line ez ace line oh oh woo oh woo love change love oh collection line ez ace line girl love collection line ez ace line na oh oh woo oh oh oh na oh oh oh oh oh oh na na oh oh oh oh oh oh oh na na oh pain na
  미스에스  ,너 따위가 뭐라고 (Feat. 정슬기),erase baby baby care baby erase erase miss
  이효리  ,Straight Up,baby baby call baby baby baby baby call baby baby lift boy lift call call straight straight bring call call straight straight straight straight straight bring straight straight straight straight straight straight straight straight straight
  임성은  ,구미호,
  벤티  ,리듬 속의 그 춤을,
  갱키즈  ,오늘밤,uh day remember uh uh uh uh uh uh back
