artist,title,Korean_clean_lyric
  디아  ,말 많은 아저씨,세상 제일 싫다 그렇다 많다 아저씨 이렇다 이렇다 오늘 뭐라다 보다 자다 안다 가르치다 아저씨 그냥 귀로 듣다 다른 귀로 흘리다 이렇다 자기 멋대로 흘리다 도대체 알다 소리 우린 그냥 싶다 대로 소리 우린 그냥 싶다 대로 시키다 대로 영원하다 절대 없다 그냥 즐기다 똑바로 걸어가다 어리다 갖다 장난 치다 아저씨 해주다 속이다 훤히 보이다 언제 나르다 보다 도대체 나이 오빠 부르다 파랗다 어리다 자기 손바닥 있다 주다 손바닥 소리 우린 그냥 싶다 대로 소리 우린 그냥 싶다 대로 시키다 대로 영원하다 절대 없다 그냥 즐기다 똑바로 걸어가다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 화가 나다 화가 화가 나다 소리 우린 그냥 싶다 대로 소리 우린 그냥 싶다 대로 시키다 대로 꼴다 보다 없다 그냥 즐기다 똑바로 걸어가다
  하늘연달  ,별을 좋아하던 너 (Feat. 라별),그날 저물다 열한 아름답다 순간 별빛 내일 함께 세자 약속 잡다 보다 밝다 달빛 아래 순간 아프다 흉터 남진 않다 오늘 순간 생각 있다 않다 나다 따르다 세다 보다 세다 보다 고인 조그만 샘물 별빛 보다 만들다 밤하늘 그리다 이름 붙이다 서로 찾다 기대다 소원 빌다 기억 묻다 밝다 달빛 아래 순간 아프다 흉터 남진 않다 오늘 순간 생각 있다 않다 나다 따르다 세다 보다
  Judas Priest  ,Turbo Lover,
  Staind  ,So Far Away,
  Sarah McLachlan  ,I Will Remember You,
  소향  ,Someday (하늘을 날다) (Inst.),빛나다 느끼다 바람 독수리 기다리다 오다 그날 떨리다 바람 실어 야하다 아득하다 까맣다 눈동자 두렵다 힘겹다 그래도 새벽 지우다 태양 높이 오르다 솟다 오르다 보이다 그렇다 주문 걸다 디디다 던지다 살라 날개 마법 펴다 이름 오늘 뒷걸음 어젠 메아리 치다 원하다 있다 거치다 외롭다 날개 뛰어오르다 날아오르다 새벽 지우다 태양 높이 오르다 솟다 오르다 보이다 그렇다 주문 걸다 디디다 던지다 살라 날개 마법 펴다 살라 있다 아끼다 오다 숨기다 오다 살라 크게 외치 마법 날개 독수리 주문 외우다 바람 타고 오르다 가다 솟다 오르다 독수리 나야 꿈꾸다 오다 그날 살라 날개 마법 펴다 빛나다 있다
  전영록  ,슬프지 않은 곳으로,꿈속 달려오다 환상 어딜 가도 따라오다 환상 보고 파도 보고 파도 보다 없다 은정 한숨 나이 잊다 발길 슬프다 않다 슬프다 않다 슬프다 않다 나이 잊다 발길 슬프다 않다 슬프다 않다 슬프다 않다 꿈속 달려오다 환상 어딜 가도 따라오다 환상 보고 파도 보고 파도 보다 없다 은정 한숨 나이 잊다 발길 슬프다 않다 슬프다 않다 슬프다 않다 나이 잊다 발길 슬프다 않다 슬프다 않다 슬프다 않다
  This Day And Age  ,Always Straight Ahead,
  이효리  ,Full Moon,오늘 나르다 멋지다 달이 타오르다 멜로디 취해 새롭다 태어나다 오늘 피다 검다 그림자 지나다 모두 숨다 좋다 사람 입술 심장 추다 뜨겁다 눈빛 비밀 추다 화려하다 우리 순간 순간 오늘 나르다 멋지다 달이 타오르다 멜로디 취해 새롭다 태어나다 사람 웃음 눈물 추다 현란하다 불빛 음악 추다 황홀하다 우리 순간 순간 순간 순간 순간 순간 순간
  엠씨더맥스 (M.C the MAX)  ,Sixth Sense (2007 New Ver.),시간 날때 수화기 닳다 전화 해오다 자꾸 바쁘다 연락 멀어지다 아낌없이 쓰다 비싸다 선물 해대 나라 경제 은글 짜다 해갈 십중팔구 새롭다 여자 생기다 실증 증거 그대로 믿다 어디 있다 무얼 체크 매번 통화 거나 자주 전화기 끄다 잠시 한눈팔다 내다 토라 이리저리 눈치 보다 주윌 신경 쓰다 십중팔구 사람 양다리 걸치다 바람 증거 한번 의심 해보다 아홉 맞다 해도 아니다 믿다 싶다 똑바로 보다 머리 가슴 느끼다 있다 모두 이해 지난 사랑 궁금하다 얘기 핑계 삼다 일일이 간섭 대다 그냥 함께 있다 행복하다 좋아하다 다른 남자 재고 비교 십중팔구 떠나다 지루하다 뿐이다 이쯤 정리 해보다 아홉 맞다 해도 아니다 믿다 싶다 똑바로 보다 머리 가슴 느끼다 있다
  The Smiths  ,I Started Something I Couldn`t Finish,
  Fun.  ,Sight Of The Sun,
  러브홀릭  ,기분좋은 날,토요일 오후 그렇게 망설이다 추다 보다 나오다 함께 오늘 하루 피곤하다 기다 싫다 추다 보다 왠지 바쁘다 월요일 정신 없다 화요일 지루하다 수요일 가다 황금 같다 토요일 바로 오늘 나오다 함께 추다 보다 여러분 나르다 보다 일어나서 추다 나오다 함께 춤추다 싶다 사람 모두 나오다 잠시 잊다 추다 기분 정말로 상쾌하다 토요일 오후 모두 기다리다 시간 그냥 보내다 없다 오늘 하루 잠시 잊다 추다 보다 왠지 바쁘다 월요일 정신 없다 화요일 지루하다 수요일 가다 황금 같다 토요일 바로 오늘 나오다 함께 추다 보다 여러분 나르다 보다 일어나서 추다 나오다 함께 춤추다 싶다 사람 모두 나오다 잠시 잊다 추다 모습 부럽다 않다 언제 가슴 답답하다 추다 기분 정말로 상쾌하다
  Jimmy Eat World  ,Integrity Blues (Acoustic),
